TRADEDATE,USD,EUR
2022-02-03,76.4849,86.2826
2022-02-04,76.6501,86.561
2022-02-05,76.0509,87.1163
2022-02-08,75.6806,86.5181
2022-02-09,75.3042,85.892
2022-02-10,74.8015,85.3784
2022-02-11,74.7241,85.3798
2022-02-12,74.9867,85.3574
2022-02-15,76.5762,86.8451
2022-02-16,76.166,86.2656
2022-02-17,75.0141,85.306
2022-02-18,75.7527,86.1308
2022-02-19,75.7619,86.1489
2022-02-22,76.7671,87.3379
2022-02-23,80.4194,90.882
2022-02-25,86.9288,97.7688
2022-02-26,83.5485,93.5994
2022-03-01,93.5589,104.4772
2022-03-02,91.7457,102.9112
2022-03-03,103.2487,114.5544
2022-03-04,111.7564,124.0161
2022-03-05,105.8124,116.5312
2022-03-06,105.8124,115.6212
2022-03-10,116.0847,126.4395
2022-03-11,120.3785,132.9581
2022-03-12,116.7517,128.9523
2022-03-15,115.1963,127.2343
2022-03-16,111.4823,122.4522
2022-03-17,108.0521,118.7601
2022-03-18,104.8012,115.9311
2022-03-19,103.9524,114.3996
2022-03-22,104.6819,115.6002
2022-03-23,104.0741,114.7833
2022-03-24,103.1618,113.2613
2022-03-25,96.0458,105.4679
2022-03-26,95.6618,105.2662
2022-03-29,93.7125,102.6714
2022-03-30,86.2843,96.0085
2022-03-31,84.0851,93.696
2022-04-01,83.4097,92.493
2022-04-02,83.4285,92.1468
2022-04-05,83.5932,92.3872
2022-04-06,83.352,91.7289
2022-04-07,82.5962,90.5998
2022-04-08,76.2547,83.293
2022-04-09,74.8501,81.7064
2022-04-12,79.1596,85.9752
2022-04-13,79.6274,86.7939
2022-04-14,79.8471,86.7219
2022-04-15,81.288,88.0024
2022-04-16,80.0437,87.0715
2022-04-19,79.4529,86.4289
2022-04-20,79.0287,85.9674
2022-04-21,77.0809,83.2705
2022-04-22,74.999,81.2239
2022-04-23,73.505,80.0249
2022-04-26,73.3611,77.4651
2022-04-27,72.7089,76.667
2022-04-28,72.8764,75.9224
2022-04-29,72.2953,75.3117
2022-04-30,71.0237,74.5589
2022-05-05,69.416,72.7815
2022-05-06,66.2378,70.0662
2022-05-07,67.3843,71.0963
2022-05-12,68.8389,72.6314
2022-05-13,65.7916,68.7835
2022-05-14,63.7799,65.7939
2022-05-17,63.4445,65.8166
2022-05-18,63.5428,66.3644
2022-05-19,63.5643,66.6135
2022-05-20,62.4031,64.9358
2022-05-21,58.8862,60.8953
2022-05-24,58.2087,60.3851
2022-05-25,56.969,58.8705
2022-05-26,56.2996,57.921
2022-05-27,62.0495,64.4392
2022-05-28,66.4029,69.4353
2022-05-31,63.0975,64.717
2022-06-01,61.6069,62.7397
2022-06-02,61.4733,63.6629
2022-06-03,61.575,64.9053
2022-06-04,61.9659,65.9191
2022-06-07,61.1094,64.8669
2022-06-08,60.9565,64.5699
2022-06-09,60.2282,63.938
2022-06-10,58.3895,62.0934
2022-06-11,57.778,60.9656
2022-06-15,57.0926,59.2481
2022-06-16,56.6624,59.1204
2022-06-17,56.8691,58.9568
2022-06-18,56.7101,59.3299
2022-06-21,56.1727,58.8003
2022-06-22,54.7081,57.4566
2022-06-23,53.2788,55.8307
2022-06-24,53.3578,55.9886
2022-06-25,53.3234,55.964
2022-06-28,53.3641,56.0535
2022-06-29,52.9699,55.8886
2022-06-30,51.158,53.858
2022-07-01,52.5123,54.6405
2022-07-02,53.7676,56.3584
2022-07-05,55.0858,57.1836
2022-07-06,58.5118,60.1618
2022-07-07,62.911,64.326
2022-07-08,63.1427,64.1349
2022-07-09,61.2664,62.0499
2022-07-12,61.3045,61.8056
2022-07-13,58.8541,58.7643
2022-07-14,58.5322,58.9002
2022-07-15,58.2568,58.3432
2022-07-16,57.8323,57.8851
2022-07-19,56.5616,57.1526
